Anthony, The Temptations of St - London;Bles, Herri met de (c. 1480/1510 - c. 1550/1555);1530-1540;Oil on panel;22 x 34
835;Garden of Eden, The - Vienna;Anonymous - circle Jheronimus Bosch;After 1539 (KHM);Oil on panel;24,5 x 19,5
836;Garden of Eden, The - Whereabouts unknown;Anonymous;16th century;Oil on panel;25 x 22
837;Grotesque Figures - Dresden;Anonymous;1635;;
838;Grotesque Scenes - Sarasota (USA);Master of the Fertility of the Egg (active c. 1690-1710);c. 1690-1710;Oil on canvas;184,8 x 250,2
839;Grotsque Heads (4) - Rotterdam;Anonymous;1550-1570;Pen and Brown Ink;17,4 x 11,7
840;Group of Ten Spectators - New York;Anonymous;1485 - 1516;Pen and brown ink on paper;12,4 x 12.6
841;Haystack, The (al hoy - everything is hay) - New Haven;Pourbos, Frans (1545 - 1581);1575;Pen and brown ink and browns wash over black chalk, encircled in red chalk;25,9 x 23,7
842;Haywain, The - Lille;Anonymous;17th century;Olie op hout;73 x 152
843;Haywain, The - Paris;Mostaert, Gillis (1528 - 1598) , Workshop of;1554 - 1598;;104 x 139
844;Haywain, The - Utrecht;Mostaert, Gilles (1528 - 1598);c. 1575;Oil on panel;116 x 203
845;Haywain, The - Whereabouts unknown;Anonymous;;Water-colour painting;
846;Haywain, The (copper engraving - Nuremberg);Anonymous;XVIB;Copper engraving;57,5 x 76
847;Haywain, The (Escorial version);Anonymous;c. 1520;Oil on panel;140 x 100 central panel; 147 x 66 sidepanels
848;Haywain, The (etching - De Mompere) - Brussels;Hogenberg, Frans (1539 - 1590);1559;Etching;42,5 x 65,4
849;Haywain, The (etching and engraving - Horenbault) - Amsterdam;Horenbault, Jacques (died c. 1625);1608;Etching and engraving;39,4 x 51,8
850;Haywain, The (tapestry) - Madrid;Anonymous;1550 -1570;Tapestry;298 x 373
851;Head of an Executioner - Madrid;Anonymous;1550 - 1600;Oil on panel;28,2 x 21.3
852;Head of an Executioner - Private collection Brasil;Anonymous;16th century;Oil on panel;37,5 Cross-cut
853;Head of an Old Woman - Rotterdam;Anonymous -;1465 - 1516;Oil on panel;13 x 5
854;Head with three Monstrosities - Bruges;Anonymous;1540-1560;Brush on paper;11,0 x 6,2
855;Heaven - Blessed in Heaven - Amsterdam;Anonymous;1548-1570;Engraving - Paper;33,5 x 12,9
856;Hell - A Scene of Hell - New York - Sotheby's;Anonymous - Dutch School;17th-century;Oil on Canvas;80 x 118
857;Hell - A Scene of Hell - Vienna;Jan Bruegel the Elder (1568 - 1625);;Oil on copper;26,5 x 36
858;Hell - Amsterdam;Anonymous;1548-1570;Engraving - paper;33,7 x 13,1
859;Hell - Berlin;Wellens de Cock, Jan (1478 - c. 1528);c. 1525;Brush with grey grounded paper;21,0 x 28,0
860;Hell - Châlons en Champagne;Anonymous;16th century;Oil on wood;64 x 54
861;Hell - Leipzig - Private collection;Anonymous;1500 - 1549;Oil on panel;49 x 46
862;Hell - London - Christies;Jacob Isaakzn. van Swanenburgh (1571-1638) - circle;;Oil on panel;61,3 x 122,2
863;Hell - London - Sotheby's;Anonymous - Probably Jan Bruegel the Younger;1550 - 1600;Oil on panel;39,4 x 37,8 (Amsterdam) - 40,3 x 46 (London)
864;Hell - Madrid;Anonymous;After 1561;Oil on oak;49 x 64
865;Hell - New Haven (USA);Carl Ludwig Beutler - Father Athanasius (1638 - 1683);c. 1669;Oil on Copper;41,91 x 50,8 (with frame)
866;Hell - Private collection in Paris;Anonymous;1550 - 1650;Oil on panel;
867;Hell - scene or the Descent to Hell - Paris;Swanenburgh Jacob Isaakzn van, (1571 - 1638);;Oil on copper;29,5 x 38,5
868;Hell - Venice;Herri met de Bles (1510 - 1550) - Possibly;c. 1550;Oil on panel;
869;Hell - Vienna;Anonymous, formely attributed to Bles, Herri met de (c. 1480/1510 - 1550/1555);1540 - 1550;Oil on panel;29,5 (cross-cut)
870;Hell - Vienna - Dorotheum - 2016;Anonymous;;Oil on panel;124 x 97,5
871;Hell - Whereabouts unknown;Pieter Huys , according Auction House;;Wooden Panel;64 x 91,5
872;Hell - Zurich - Koller;Anonymous;c. 1550;Oil on copper;34 x 42,5
873;Hell -Two Side-Panels - Loosdrecht;Anonymous;1500-1550;;
874;Hell , The - St Petersburg;Anonymous;1500 - 1510;Oil on panel;39,7 x 38,5
875;Hell , The - London - Christies;Anonymous;c, 1540;Oil on panel;99 x 137,8
876;Hell , The - New York City - Paris - Berlin - Art Dealer Paul Graupe;Anonymous;16th century;Oil on panel;34 x 25,5
877;Hell (fragment) - New York;Anonymous;;Oil on panel (fragment);27 x 21,2
878;Hell (fragment) - Paris - Piasa Auction;Anonymous Flemish painter;16th century;Oil on oak;69,5 x 34
879;Hell (study sheet) - Private Collection;Anonymous;c. 1500;Pen and Brown Ink;25,9 x 19,7
880;Hell and Purgatory - Amsterdam;Jacques Callot (1592 - 1635);1612;Engraving -paper;72,4 x 85,8 (4 papers)
881;Hell Gate - Berlin;Jan Bruegel the Elder (1568 - 1625);;Oil on copper;20,9 x 26,2
882;Hell Scene - Ship of Hell - St Petersburg;Anonymous;;Paper, pen in grey-brown;29,4 x 21,8
883;;Anonymous;c. 19/20-century;Oil on panel;81 x 54
884;Hell, scenes from - Madrid;Anonymous;;;54 x 42
885;Hell, The - Right Panel of a Triptych - Princeton;Anonymous;1550-1575;Pen and bistre, gray wash on dark ivory paper;30,3 x 11
886;Hell, The - The Temptations of a Female Saint - Vienna;Mandijn Jan (c. 1500 - 1560);;Oil on Copper or Panel;19,5 x 19,5
887;Helmet and shield - Paris;Anonymous;c. 1500;Material: Brush in grey ink;25,5 x 15
888;James and the Magician Hermogenes - Anthony, St - Valenciennes;Anonymous;1550 -1575;Oil on wood - Two-sided painting;62 x 41,5
889;James and the Magician Hermogenes, St - Amsterdam;Pieter Bruegel the Elder (1525-1569);1564;Pen - ink - paper;23,3 x 29,6
890;James and the Magician Hermogenes, St - Amsterdam;Pieter van der Heyden (1530-c. 1572) - after Pieter Bruegel;1565;Engraving - paper;22,0 x 29,0
891;Jerome - Saint Jerome in the desert - New York;Joachim Patinir - Atelier;1500 - 1524;Oil on panel;22,8 x 33,3
892;Jerome - Saint Jerome in the desert - Paris;Patinir, Joachim (ca. 1480 - 1524);c. 1520;Oil on panel;78 x 137
893;Jerome St - in the Wilderness - London - Sotheby's 2021;Anonymous;;Oil on oak panel;59,9 x 95,9
894;Jerome Triptych, St (with St John the Baptist and St Anthony) - New York;Patinir, Joachim (ca. 1480 - 1524);c. 1512 - 1515;Oil on wood;117,5 x 81,3 central panel; 120,7 x 35,6 (incl. frame)
895;Jerome, St - Landscape with - Houston;Patinir, Joachim (ca. 1480 - 1524) - Follower;1500 - 1549;Oil on Panel;41 x 58,3
896;Jerome, St - Landscape with the Penitent - Chicago;Patinir, Joachim (ca. 1480 - 1524) - also called Jacob;1515-1526;Oil on Panel;37,9 x 54,3
897;Jerome, St - Landscape with the Penitent - New York;Patinir, Joachim (ca. 1480 - 1524) -Atelier;;Oil on panel;35 x 27,3
898;Jerome, St - Landscape with the pentinent - Stockholm;Joachim Patinir - Atelier;1500 - 1550;Oil on panel;41 x 50
899;Job Triptych, St - Bruges;Anonymous - circle Jheronimus Bosch;1507 - 1515;Oil on panel;98,1 x 72,1 central panel; 98 x 30,2 side panels
900;Job Triptych, St (exterior panels) - Bruges;Anonymous - circle Jheronimus Bosch;1550-1600;Oil on panel;98 x 30,2 (2x)
901;Job, The Temptations of St - Douai;Mandijn Jan (c. 1500 - 1560) or Huys, Pieter (c. 1519 - 1584);c. 1550;Oil on oak panel;67 x 141
902;Job, The Temptations of St - Private collection;Mandijn Jan (c. 1500 - 1560);;Oil on wood;118 x 162,5
903;Job, The Temptations of St - Private collection;Anonymous;;Oil on wood, in 1919 transferred on canvas.;97 x 124 (Unverfehrt) - 81 x 107 (balat.kikirpa)
904;Juno in the Underworld - Dresden;Bruegel, Jan the Elder (1568 - 1625);1598;Oil on copper;25,5 x 35,5
905;Juno in the Underworld - Paris;Bruegel, Jan the Younger (1601 -1678);;Oil on copper;21 x 27
906;Landscape with Fires - Basel;Anonymous;16th-century;Panel;31 x 44
907;Landscape with Hermit - Indianapolis;Wellens de Cock, Jan (1478 - c. 1528);1506-1526;Oil on Panel;54 x 73,5
908;Landscape with man with owl and female monster - Amsterdam Art Dealer Hoogendijk;Herri met de Bles ( 1480/1510 - 1550/1555);1525-1550;Oil on panel;19 x 28
909;Last Judgement , The - New York - Christies;Anonymous;1465 - 1516 (RKD);Oil on panel;96,5 x 61
910;Last Judgement, The - Gdansk;Vredeman de Vries, Hans (1527 - 1607));1594-1595;Oil on Canvas;144 x 132
911;Last Judgement, The - Aachen;Anonymous;1506 - 1508;Oil on canvas;83 x 102
912;Last Judgement, The - Amsterdam;Hameel, Alaert du (1449 - 1509), or Duhamel or Duhameel, after Jheronimus Bosch;1478 - 1509;Engraving, paper;23,5 x 34,5
913;Last Judgement, The - Amsterdam;Hameel, Alaert du (1449 - 1509), After;1520 - 1580;Engraving, paper;24,5 x 35
914;Last Judgement, The - Baltimore;Huys, Pieter (1519 - 1581);1555 - 1560;Oil on wood;115 x 85,4
915;Last Judgement, The - Basel;Anonymous - Probably Jan Mandijn (c. 1500 - 1560);1515-1520;Oil on canvas (website bridgemanimages.it/it/asset/884647/summary);
916;Last Judgement, The - Bruges;Provoost, (or Provost) Jan (1463/1465 - 1529);1525;Oil on wood;145 x 171
917;Last Judgement, The - Brussels;Huys, Pieter (1519 - 1581);1554; Vintage bottom center, on the original painted flat band of the list.;Oil on panel;133 x 100
918;Last Judgement, The - Chicago;Alaert du Hameel (1449 - 1509) - or Duhamel or Duhameel;1478-1506;Engraving in black on buff laid paper;24,2 x 35,1
919;Last Judgement, The - Detroit;Provoost, (or Provost) Jan (1463/1465 - 1529);c. 1525;Oil on oak panel;57,8 x 60,6
920;Last Judgement, The - Geneva;Huys, Pieter (1519 - 1581);;;83,4 x 101,4
921;Last Judgement, The - Geraardsbergen;Adriaan Moreels and Pieter van Boven;1520-1526 After William Westvalinck;;
922;Last Judgement, The - Hamburg;Provoost, (or Provost) Jan (1463/1465 - 1529);c. 1525;Oil on wood;68 x 61
923;Last Judgement, The - Krakow;Anonymous;;;Central panel: 90 x 57 - Side panels: 95 x 25
924;Last Judgement, The - London;Cornelis Cort (1533 - 1578);1560 -1565;Engraving;33,2 x 49
925;Last Judgement, The - London;Alaert du Hameel (1449 - 1509) - or Duhamel or Duhameel;1487-1506;Engraving;24,1 x 34,7
926;Last Judgement, The - London;Pieter van der Heijden or Philip Galle;1550-1580;Engraving;24,1 x 24,9
927;Last Judgement, The - London;Anonymous - After Jheronimus Bosch;1550 - 1570;Engraving;29,0 x 21,05
928;Last Judgement, The - London;Anonymus;1500 - 1510;Oil on panel;84,4 x 95,2
929;Last Judgement, The - London;Anonymous;c. 1520-1525;Oil on oak panel;76,2 x 76,2
930;Last Judgement, The - London - Christies 2021;Jan Bruegel the Elder (1568 - 1625);;Oil on copper;27,4 x 36,5
931;Last Judgement, The - Los Angeles;Cornelis Cort (1533 - 1578);1560-1565;Engraving;35,56 x 52,07
932;Last Judgement, The - Madrid;Huys, Pieter (1519 - 1581);1570;Oil on wood;86 x 82
933;Last Judgement, The - Paris;Huys, Pieter (1519 - 1581);;;
934;Last Judgement, The - Paris - Gallery Martinez D.;Cornelis Cort or Mich. Snyders;1550-1560 - colored 1570-1590;Colored engraving - Triptych on laid paper;
935;Last Judgement, The - Philadelphia;Anonymus;c. 1520;Oil on panel;95,9 x 75,9
936;Last Judgement, The - Rotterdam;Pieter van der Heyden (1530-c. 1572);1551 - 1572;Engraving;24 x 34,5
937;Last Judgement, The - San Francisco;Anonymous;c. 1500;Oil on Panel;69,1 x 40
938;Last Judgement, The - Springfield;Mandijn Jan (c. 1500 - 1560);;;
939;Last Judgement, The - Stanford;Anonymous - circle Jheronimus Bosch;;Oil on canvas;120.97 x 134,62
940;Last Judgement, The - Trier;Huys, Pieter (1519 - 1581) or Follower;c. 1554;Oil on wood;129 x 96
941;Last Judgement, The - Tudela;Anonymous;;;70 x 76
942;Last Judgement, The (copy of the Vienna triptych) - Berlin;Cranach, Lucas (1472 - 1553);c. 1520-1524;Oil on wood;163 x 125 central panel; 163 x 58 side-panels
943;Last Judgement, The (detail) - London;Anonymous;16th century;Pen and brown ink on paper;20,9 x 18,7
944;Last Judgement, The (fragmentary wings) - Private collections;Anonymous - circle Jheronimus Bosch;c. 1500;Oil on panel;33,9 x 20: Paradise; 34,6 x 21.2 Hell
945;Last Judgement, The (left wing) - Amsterdam;Anonymous;1548 - 1570;Engraving;33,5 x 12,9
946;Last Judgement, The (right wing: Hell) - Oakland Hills (USA);Anonymous;1601 - 1672;Engraving;33,7 x 23,5
947;Last Judgement, The (triptych engraving) - 's-Hertogenbosch;Anonymous;1556;Engraving - paper and ink;32,7 x 48,7
948;Last Judgement, The (triptych engraving) - Berlin;Snyders, Michiel (1588 - 1630);1601 - 1672;Etching;33,6 x 49,4
949;Last Judgement, The (triptych engraving) - Dresden;Cornelis Cort (1533 - 1578);;Engraving, etching;33,6 x 49,4
950;Last Judgement, The (triptych) - Berlin;Anonymous;1520 - 1527;Oil on oak panel;78 x 52 central panel; 83 x 23 side-panels
951;Last Judgement, The (triptych) - Bruges;Anonymous - Probably (workshop) Jheronimus Bosch;c. 1510;Oil on wood;central panel: 99 x 60 - Side-panels 99,5 28,6
952;Last Judgement, The (triptych) - Cairo;Anonymous;c. 1540;Oil on wood;95,5 x 59: central panel; 95,5 x 25 side-panels
953;Last Judgement, The (triptych) - London - Sotheby's;Anonymous;16th century;Oil on panel;89 x 61 central panel; 89 x 29 side-panels
954;Last Judgement, The (triptych) - New York - Sotheby's;Coffermans, Marcellus (active 1549 - 1575);c. 1550;Oil on panel;84,5 x 63 central panel; 93 x 29,5 left panel; 92,5 x 29,5 right panel
955;Last Judgement, The (triptych) - Uden;Anonymous - According Unverfehrt is Herri met de Bles the artist.;1565 - 1600;Oil on oak panel;74 x 48 central panel; 74 x 21 side-panels
956;Last Judgement, The and the Seven Deadly Sins - Amsterdam;Swanenburgh Jacob Isaakzn van, (1571 - 1638);1600-1638;Oil on panel;23 x 88
957;Lot and his Daughters, Landscape with - fragment - Stockholm;Herri met de Bles (c. 1510 - 1572);;Oil on wood;32 x 45
958;Loth and his Daughters - Landscape with - Stockholm;Herri met de Bles (1510 - 1550);;Oil on wood;32 x 45
959;Loth and his Daughters - The Burning of Sodom and Gomorra - New York - Christies 2020;Herri met de Bles - Circle;;Oil on panel;28,2 x 36,8
960;Loth and his daughters - Warsaw;Bles, Herri met de (c. 1480/1510 - c. 1550/1555);1530;Oil on panel;32,2 x 45,2
961;;Heemskerck, Egbert van (1634 - 1704);c.1700;Oil on canvas;
962;Mad Meg - Dulle Griet - Antwerp;Bruegel, Pieter the Elder (1525-1569);1563;Oil on panel;161 x 115
963;Mad Meg - Dulle Griet - Belgium - Private collection;Teniers, David The Younger (1610 - 1690);1640;Oil on oak panel;48 x 69
964;Mad Meg - Dulle Griet - Dusseldorf;Bruegel, Pieter the Younger (1564-1638);1580-1638;Pen and brown ink, gouache, on yellowigh paper;39 x 53,4
965;Mad Meg - Dulle Griet - Vienna - Kinsky Kunst Auktionen 2021;Teniers, David The Younger (1610 - 1690);17th-century;Oil on canvas;53,5 x 75,5
966;Mad Meg (Dulle Griet) - Vienna;Rijckaert, David (1612 - 1661);1651-1659;Oil on oak;49 x 64
967;Magi at Herod and Cavalry Group - London - Sotheby's;Anonymous;c. 1520;Oil on oak panel;172,2 x 66,5 (2x)
968;Martin and the Beggars, St - Amsterdam;Anonymous;1626-1676;Engraving - colored;33,9 x 42,9
969;Martin and the Beggars, St - Chicago;Johannes Doetecum (active 1554-1605) and/or Lucas Doetecum (1554-1572);c. 1561;;
970;Martin and the Beggars, St - Cologne;Anonymous;1540-1570;Copper engraving;
971;Martin and the Beggars, St - London;Johannes Doetecum (active 1554-1605) and/or Lucas Doetecum (1554-1572);1556-1557;Engraving - Etching;32,9 x 43,3
972;Martin and the Beggars, St - Oxford;Anonymous;1560-1580;Grey Brown and black and brown tones, paper;35,5 x 50
973;Martin and the Beggars, St - Rotterdam;Doetecum, Johannes ( active 1554 - 1605) and/or Lucas (active 1554 - 1572);c. 1561;Etching, Engraving;32,0 x 42,7
974;Martin and the Beggars, St (tapestry) - Madrid;Unknown Brussels workshop;1550 - 1570;Tapestery, Gold, silver, silk and wood;300 x 369
975;Martin, St (tapestry) - Paris;Anonymous - unknown Brussels workshop;c. 1550;Tapestery, Gold, silver, silk and wood;
976;Mary and John - Dresden;Anonymous;1450-1516;Brush;30,6 x 17,5
977;Mary and the Christ Child - Private collection;Anonymous;1505-1510;Oil on panel;100,5 x 71
978;Mary Magdalene, The temptations of - Private collection;Anonymous;c. 1600;Oil on panel;60 x 50,3
979;Merrymakers and Helmets - Paris;Anonymous;c. 1500;Pen and Brown Ink;27,8 x 20,2
980;Michael, St - Private collection;Anonymous;16th century;;
981;Mock Tournament on Ice - New Haven (USA);Huys, Pieter (1519 - 1581) - Follower;c. 1560;Oil on panel;95 x 111
982;Monster - Book 'The live of Gargantua and Pantagruel';Deprez, Francois (1530 -1587);1562;;
983;Monsters - Amsterdam;Anonymous - after Arent van Bolten (1573 - before 1633);c. 1604 - 1616;Engraving;14,5 x 20
984;Monsters - Fantasy Figures - Amsterdam;Anonymous;1570-1620;Engraving - paper;29,7 x 21,2
985;Monsters - Leiden;Master of the Death of Absalom (active 1490-1525);1520-1525;Pen in brown on paper;19,8 x 13,9
986;;Lambert Lombard (1505-1566);16th century;Ink on paper;18,0 x 25,5
987;Monsters - Oxford;Anonymous;1450-1500;Pen with brown ink;31,8 x 21
988;Monsters - Oxford;Anonymous;1450-1500;;
989;Monsters - Providence (USA);Anonymous;1465-1516;Pen with brown ink;31,1 x 21,3
990;Monsters - Scenes of Hell - Berlin;Anonymous;1465 - 1516;Pen and Brown Ink;15,6 x 17,6
991;Monsters - Whereabouts unknown;Anonymous;1540-1560;Pen with brown ink;8,5 x 19,0
992;Monsters (23) - Grotesque or Various Fantastic Figures - Beggars and Cripples - London;Anonymous;1570-1600;Engraving;29,3 x 21,1
993;Monsters (23) - Grotesque or Various Fantastic Figures - Beggars and Cripples - Rotterdam;Anonymous;1570-1580;Engraving;27,9 x 21,2
994;Monsters (study sheet) - Berlin;Anonymous;1465-1516;Pen and brown ink;15,6 x 17,6
995;Nightmare, The - London;Cornelis Massys (c. 1510 - 1556/1557) - probably;1550 - 1570;Feather and brush in grey and grey brown color on paper;24,6 x 35,6
996;Nightmare, The - Strasbourg;Anonymous - Flemish designer;c. 1580;;
997;Orpheus and Euridyce - Amsterdam - Christies 2000;Huys, Pieter (1519 - 1581) - Circle;;Oil on canvas;43,18 x 45,88
998;Orpheus in the Underworld - Firenze - Florence;Bruegel, Jan the Older (1568 - 1625);1594;Oil on copper;27 x 36
999;Orpheus in the Underworld - London;Bruegel, Jan the Older (1568 - 1625);1594;;
1000;Orpheus in the Underworld - Paris;Bruegel, Jan the Older (1568 - 1625);1594;Oil on copper, mounted on panel;26 x 35,2
1001;Orpheus in the Underworld - Paris - Charpentier;Anonymous;1530;Oil on panel;50 x 69
1002;Orpheus in the Underworld - Vienna;Roelant Savery (1576 - 1639);c. 1610-1615;Alderwood;27 x 35
1003;Orpheus sings for Pluto and Prosperina - Rome;Bruegel, Jan the Older (1568 - 1625);;Oil on copper;28,7 x 34,4
1004;Painter and the Buyer, The - Vienna;Bruegel, Pieter the Elder (1525 - 1569);c. 1566;Pen and brown ink;25,5 x 21,5
1005;Pedlar, The - Vienna;Anonymous;;Oil on panel;19 x 19
1006;Peter kneeling, St - a Monster and a Male Head - Amsterdam - De Boer Foundation;Anonymus;;Pen with shades of grey and brown ink on grey-green paper;10.9 x 8,0
1007;Pluto and Proserpina - New York;Joseph Heintz de J. (1600 - 1678);;Oil on Canvas;94 x 132
1008;Priest - Prophet - Dresden;Anonymous;1465-1516;Pen and brown ink;19,7 x 27,5
1009;Proserpina is kidnapped to the underworld - Milano;Swanenburgh Jacob Isaakzn van, (1571 - 1638);1638;Oil on canvas;78,5 x 123,5
1010;Purgatory - Boston;Anonymous;16th century;Oil on panel;86,5 x 65,7
1011;Repairer of Bellows, The - Doornik - Tournai;Cornelis Massys (c.1510 - 1562) - also called Metsys;c. 1556;Oil on panel;112 x 151,5
1012;Repairer of Bellows, The - London;Anonymous;1570;Paper, pen in brown, wash in brown;19,7 x 29,6
1013;Repairer of Bellows, The - Naples;Anonymous;c. 1550;Oil on wood;
1014;Repairer of Bellows, The - Private collection;Anonymous;1525 - 1550;Engraving;28 x 29
1015;Resurrection of Christ, The - 's-Heerenberg;Anonymous;1573-1600;Oil on panel;83 x61
1016;Rich Man, The - London;Teniers, David The Younger ( 1610 - 1690);1647;Oil on oak;48 x 69
1017;Rich Man, The - Unknown location;Teniers, David The Younger ( 1610 - 1690);;Oil on canvas;42 x 64
1018;Saints Anthony and Paul - Hermits - Amsterdam - Christies;Jan Wellens de Cock (1480-1527);;Oil on panel;34,2 x 47,8
1019;Satire on Soldiers (?) - Brussels;Anonymous;1570 - 1590;Copper engraving;11,7 x 17,2
1020;Satire on the Catholic Church - Coburg;Matthias Gerung (1500 - 1570);1536;Colored-engraving;30,8 x 22,4
1021;Saul and the Witch of Endor - Amsterdam;Oostsanen, Jacob Corneliszn. van;1526;Oil on panel;87,5 x 125
1022;Seven Deadly Sins, The - Geneva;Anonymous;Circa 1520 - 1530;Oil on oak panel;86,7 x 54,8
1023;Seven Deadly Sins, The (Avarice - Greed - Avaritia) - London;Pieter Bruegel the Elder (1525-1569);1556;Drawing - paper;22,8 x 29,7
1024;Seven Deadly Sins, The (Desidia - Sloth) - 's-Hertogenbosch;Frans Huys (1522 - 1562)- creator / Cornelis Massys - engraver;;Engraving - ink - paper;30,7 x 42,1
1025;Seven Deadly Sins, The (Desidia - Sloth) - Amsterdam;Frans Huys (1522 - 1562);1558;Engraving;34,8 x 42,2
1026;Seven Deadly Sins, The (Desidia - Sloth) - Vienna;Bruegel, Pieter the Elder (1525 - 1569);1557;Pen and grey-brown ink on paper;
1027;Seven Deadly Sins, The (Desidia - Sloth) - Whereabouts unknown;Anonymus - After Pieter Bruegel;;;
1028;Seven Deadly Sins, The (Gula - Gluttony) - London - Bonhams;Anonymous after Pieter van der Heyden (1530-c. 1572) - after Pieter Bruegel;;Oil on canvas;83,8 x 45,1
1029;Seven Deadly Sins, The (Gula - Gluttony) - London - Christies;Mandijn Jan (c. 1500 - 1560) - Follower;1550 - 1600;Oil on panel;35,1 x 31,4
1030;Seven Deadly Sins, The (Gula - Gluttony) - Paris;Bruegel, Pieter the Elder (1525 - 1569);1557;Drawing;23 x 30
1031;Seven Deadly Sins, The (Gula - Gluttony) - Vienna - Dorotheum;Anonymous after Pieter van der Heyden (1530-c. 1572) - after Pieter Bruegel- According Dorotheum Jan Wellens de Cock.;;Oil on canvas;30 x 39,5
1032;Seven Deadly Sins, The (Invidia - Jealousy) - Basel;Bruegel, Pieter the Elder (1525 - 1569);1557;Drawing;22 x 30
1033;Seven Deadly Sins, The (Invidia) - Austria - Dorotheum 2022;Anonymous;;Oil on canvas;85 x 115
1034;Seven Deadly Sins, The (Ira - Anger) - Bergamo;Anonymous;1540-1550;Oil on wood;22,7 x 31
1035;Seven Deadly Sins, The (Ira - Anger) - Firenze/Florence;Bruegel, Pieter the Elder (1525 - 1569);1557;Paper, pen in brown;22,8 x 30,1
1036;Seven Deadly Sins, The (Ira - Anger) - Rouen;Anonymous - Follower Pieter Bruegel the Elder;After 1558;Oil on panel;
1037;Seven Deadly Sins, The (Luxuria) - Brussels;Pieter Bruegel the Elder (1525-1569);1558;Engraving;22,5 x 29,5
1038;Seven Deadly Sins, The (Luxuria) - London;Bruegel, Pieter the Elder (1525 - 1569) After;After 1558;Oil on panel;39,5 x 55,5
1039;Seven Deadly Sins, The (Superbia - Vanity) - Paris;Bruegel, Pieter the Elder (1525 - 1569);1557;Drawing;22,9 x 30
1040;;Jan Mandijn after Pieter Bruegel;;Panel;21 x 30,5
1041;Seven Deadly Sins, The (Superbia) - London;Anonymous;;Oil on panel;21 x 30,5
1042;Seven Sins, The - Luxuria - London;Claeissins or Claeissens Antoon (1536 - 1613);;Oil on panel;56,5 x 66,6
1043;Seven Virtues, The (Patience - Patientia) - New York;Pieter van der Heyden (1530-c. 1572) - after Pieter Bruegel;1557 Published by Hieronymus Cock;Engraving;33,9 x 43,7 (sheet)
1044;Ship in Flames - Vienna;Anonymous - Atelier Jheronimus Bosch;1465-1516;Pen and brown ink on paper;17,6 x 15,3
1045;Ship of Fools, The - Paris;Anonymous;c. 1500;Brush in black ink, washed, heightened with white on grey paper;25,6 x 16,6
1046;Ship of Fools, The (?) - Uppsala 2015;Anonymous;;Oil on panel;36,5 x 28
1047;Shrove Tuesday - Amsterdam;Heyden, Pieter van (1530 - c. 1572);1567;Engraving on paper;22,9 x 29,2
1048;Shrove Tuesday - Berlin - Bassenge;Jaspar, Isaac (c. 1585 - 1654);;Etching;25,2 x 29,2
1049;;Pieter van der Heijden after a design of Jheronimus Bosch;1601-1652;Engraving;22,4 x 28,2
1050;Shrove Tuesday - London;Pieter van der Heijden after a design of Jheronimus Bosch;1567;Engraving;22,2 x 28,4
1051;Shrove Tuesday - London;Anonymous;1477 - 1516;Pen in Brown Ink and black chalk on paper;17,4 x 20,7
1052;Shrove Tuesday - Rotterdam;Pieter van der Heyden (1530-c. 1572) - after Pieter Bruegel;1567;Engraving;19,5 x 29
1053;Shrove Tuesday - Vienna;Anonymous after Pieter Bruegel or Jheronimus Bosch;1550 - 1580;Pen and blackbrown ink on paper;19,9 x 29,2
1054;Shrove Tuesday (fragment: Merrymakers in a Bagpipe) - Basel - Meier;Anonymous;16th-century;Oil on Panel;93 x 70
1055;Shrove Tuesday (fragment: Merrymakers in a Bagpipe) - Bern - Schneeberger;Anonymous;16th century;Oil on panel;92 x 69,5
1056;Shrove Tuesday or Merrymakers in a Bagpipe) - New York - Sotheby's 2023;Anonymous;Late 16th or 17th-century;Oil on panel;108,9 x 86,4
1057;Studies with Seven Monsters - Paris;Anonymous;1505 - 1510;Paper,pen and brown and grey ink.;20,5 x 26,2
1058;Study Sheet - Edinburgh;Mandijn Jan (c. 1500 - 1560);1515 - 1560;Paper, pen, washed in blue, heightened white;21,8 x 33,9
1059;Tavern Scene (Hy soeckt de byle) - London - Christies;Anonymous;;Oil on panel;41,5 x 44,1
1060;Tavern Scene (Hy soeckt de byle) - Mechelen - Malines - Mechlin;Anonymous;1510-1530;Tempera (?) on canvas;112,7 x 132,2
1061;The Property of a Noble European Family;Verbeeck Family Group;Early 17th-century;Oil on oak panel;110 x 170,3
1062;Three Hermits - Triptych - Private collection;Patinir, Joachim (ca. 1480 - 1524);1517-1524;Oil on wood;90,5 x 89 (central panel) - 90,5 x 38 (side-panels)
1063;Tree-Man and Monsters - Dresden;Anonymous;1465 - 1516;Pen and Brown Ink;19,7 x 27,7
1064;Tree-man and Monsters - Erlangen;Anonymous;1550 - 1600;;16,5/17,1 (right) x 27,9
1065;Tree-man, The - Antwerp;Anonymous;;Engraving, etching;
1066;Tree-Man, The - London;Anonymous;1540-1600;Engraving;32,0 x 25,0 - diameter 21,0
1067;Tree-Man, The - Rotterdam;Anonymous;1550-1575;Etching;diameter: 21
1068;Triumph of Death, The - Basel;Bruegel, Pieter the Younger (c. 1564 - 1638);1598;Oil on oak;123,3 x 166,5
1069;Triumph of Death, The - Graz;Jan Bruegel the Elder (1568 - 1625);1597;Oil on canvas;117 x 162
1070;Triumph of Death, The - Madrid;Pieter Bruegel the Elder (1525-1569);1562;Oil on panel;117 x 162
